hs_contact_id,email,company_name,lead_source,mql_date,lifecycle_stage,sf_opportunity_id,country,utm_campaign,number_of_employees,country_canonical,lead_source_canonical,canonical_name,has_sf_opportunity
HS-90000,contact0@verticetech.com.br,Vertice,Webinar,2023-12-05,MQL,,Brasil,webinar-nov24,,BR,Webinar,vertice,False
HS-90001,contact1@gridsoft.com.br,gridsoft,Content Download,2024-04-09,Subscriber,,Brasil,webinar-nov24,,BR,Content Download,gridsoft,False
HS-90002,contact2@dataprime.com.br,DataPrime,Content Download,2024-04-06,MQL,,BRASIL,linkedin-ads-q3,132.0,BR,Content Download,dataprime,False
HS-90003,contact3@zentra.com.br,Zentra,Paid Search,2024-07-22,Customer,,Brasil,partner-referral,19.0,BR,Paid Search,zentra,False
HS-90004,contact4@gruponexus.com.br,nexus,Content Download,2024-03-28,Lead,,Brasil,event-saas-summit,118.0,BR,Content Download,nexus,False
HS-90005,contact5@innova.com.br,Innova,Email Marketing,2024-03-25,MQL,,Brasil,cold-outbound,,BR,Email Marketing,innova,False
HS-90006,contact6@rushflow.com.br,RushFlow,Email Marketing,2024-11-24,Subscriber,,Brasil,linkedin-ads-q3,,BR,Email Marketing,rushflow,False
HS-90007,contact7@gruponexus.com.br,Nexus Group,Event,,SQL,OPP-2025104,Brasil,event-saas-summit,150.0,BR,Other,nexus,True
HS-90008,contact8@verticetech.com.br,Vértice Tech,partner referral,2024-03-02,Customer,,Brasil,linkedin-ads-q3,524.0,BR,Partner/Referral,vertice,False
HS-90009,contact9@verticetech.com.br,VERTICE TECH,Content Download,2024-07-04,MQL,OPP-2024009,Brasil,linkedin-ads-q3,11.0,BR,Content Download,vertice,True
HS-90010,contact10@polare.com.br,Polare Ltda,Content Download,2024-02-18,Customer,,Brasil,demo-request,,BR,Content Download,polare,False
HS-90011,contact11@polare.com.br,polare,organic,2023-09-09,Lead,,Brasil,partner-referral,398.0,BR,Organic Search,polare,False
HS-90012,contact12@bluepath.com.br,BLUEPATH,Event,2024-12-01,Lead,OPP-2024874,Brasil,organic,585.0,BR,Other,bluepath,True
HS-90013,contact13@skyops.com.br,Sky Ops,Partner,2024-09-21,MQL,,BR,cold-outbound,5612.0,BR,Partner/Referral,skyops,False
HS-90014,contact14@corelogic.com.br,CoreLogic,Event,,Lead,,BRASIL,webinar-nov24,221.0,BR,Other,corelogic,False
HS-90015,contact15@betasolutions.com.br,beta solutions,Email Marketing,,SQL,OPP-2024076,BR,event-saas-summit,191.0,BR,Email Marketing,betasolutions,True
HS-90016,contact16@dataprime.com.br,DataPrime,Referral,2024-12-23,Subscriber,OPP-2024933,Brasil,linkedin-ads-q3,526.0,BR,Partner/Referral,dataprime,True
HS-90017,contact17@gridsoft.com.br,GRIDSOFT,email,2024-12-27,SQL,,Brasil,event-saas-summit,,BR,Email Marketing,gridsoft,False
HS-90018,contact18@gridsoft.com.br,Grid Soft,Event,2024-10-22,MQL,,Brasil,cold-outbound,3727.0,BR,Other,gridsoft,False
HS-90019,contact19@acmecorp.com.br,Acme,email,,Customer,,Brasil,cold-outbound,,BR,Email Marketing,acme,False
HS-90020,contact20@orbitdigital.com.br,ORBIT DIGITAL,Referral,2024-07-24,MQL,,Brasil,linkedin-ads-q3,,BR,Partner/Referral,orbit,False
HS-90021,contact21@innova.com.br,INNOVA,partner referral,2023-12-26,SQL,OPP-2025088,Brazil,cold-outbound,188.0,BR,Partner/Referral,innova,True
HS-90022,contact22@verticetech.com.br,Vertice,Webinar,2023-10-21,MQL,,brasil,event-saas-summit,746.0,BR,Webinar,vertice,False
HS-90023,contact23@gruponexus.com.br,Nexus Group,google ads,2024-12-13,SQL,OPP-2024937,Brasil,linkedin-ads-q3,1595.0,BR,Paid Search,nexus,True
HS-90024,contact24@ampliasolucoes.com.br,Amplia,Organic Search,2024-11-17,MQL,,Brazil,demo-request,,BR,Organic Search,amplia,False
HS-90025,contact25@orbitdigital.com.br,orbit digital,Email Marketing,2023-12-16,Customer,,Brasil,organic,607.0,BR,Email Marketing,orbit,False
HS-90026,contact26@skyops.com.br,skyops,Partner,,Customer,,Brasil,ebook-revops,57.0,BR,Partner/Referral,skyops,False
HS-90027,contact27@acmecorp.com.br,Acme Corp.,Event,2023-11-27,SQL,,Brasil,webinar-nov24,498.0,BR,Other,acme,False
HS-90028,contact28@dataprime.com.br,dataprime,Event,2024-11-18,Subscriber,,Brazil,cold-outbound,199.0,BR,Other,dataprime,False
HS-90029,contact29@polaris.com.br,POLARIS,Paid Search,2023-12-21,Customer,,Brasil,demo-request,6775.0,BR,Paid Search,polaris,False
HS-90030,contact30@rushflow.com.br,rushflow,Paid Search,2024-07-12,Lead,OPP-2024114,Brasil,webinar-nov24,11.0,BR,Paid Search,rushflow,True
HS-90031,contact31@rushflow.com.br,RushFlow,Content Download,2025-01-16,Customer,,Brasil,ebook-revops,160.0,BR,Content Download,rushflow,False
HS-90032,contact32@zentra.com.br,Zentra,Content Download,2023-10-07,MQL,OPP-2025170,BRASIL,cold-outbound,,BR,Content Download,zentra,True
HS-90033,contact33@innova.com.br,Innova,Organic Search,,Customer,,BRA,ebook-revops,108.0,BR,Organic Search,innova,False
HS-90034,contact34@connectwave.com.br,ConnectWave,Social Media,2024-07-31,Lead,,Brasil,cold-outbound,114.0,BR,Social Media,connectwave,False
HS-90035,contact35@polare.com.br,polare,Email Marketing,2024-05-17,MQL,,brasil,event-saas-summit,150.0,BR,Email Marketing,polare,False
HS-90036,contact36@corelogic.com.br,corelogic,google ads,2024-04-22,SQL,OPP-2025120,Brasil,event-saas-summit,8113.0,BR,Paid Search,corelogic,True
HS-90037,contact37@orbitdigital.com.br,ORBIT DIGITAL,Event,,Subscriber,,Brasil,event-saas-summit,774.0,BR,Other,orbit,False
