hs_contact_id,email,company_name,lead_source,mql_date,lifecycle_stage,sf_opportunity_id,country,utm_campaign,number_of_employees
HS-90000,contact0@verticetech.com.br,Vertice,Webinar,2023-12-05,MQL,,Brasil,webinar-nov24,
HS-90001,contact1@gridsoft.com.br,gridsoft,Content Download,2024-04-09,Subscriber,,Brasil,webinar-nov24,
HS-90002,contact2@dataprime.com.br,DataPrime,Content Download,2024-04-06,MQL,,BRASIL,linkedin-ads-q3,132
HS-90003,contact3@zentra.com.br,Zentra,Paid Search,2024-07-22,Customer,,Brasil,partner-referral,19
HS-90004,contact4@gruponexus.com.br,nexus,Content Download,2024-03-28,Lead,,Brasil,event-saas-summit,118
HS-90005,contact5@innova.com.br,Innova,Email Marketing,2024-03-25,MQL,,Brasil,cold-outbound,
HS-90006,contact6@rushflow.com.br,RushFlow,Email Marketing,2024-11-24,Subscriber,,Brasil,linkedin-ads-q3,
HS-90007,contact7@gruponexus.com.br,Nexus Group,Event,,SQL,OPP-2025104,Brasil,event-saas-summit,150
HS-90008,contact8@verticetech.com.br,Vértice Tech,partner referral,2024-03-02,Customer,,Brasil,linkedin-ads-q3,524
HS-90009,contact9@verticetech.com.br,VERTICE TECH,Content Download,2024-07-04,MQL,OPP-2024009,Brasil,linkedin-ads-q3,11
HS-90010,contact10@polare.com.br,Polare Ltda,Content Download,2024-02-18,Customer,,Brasil,demo-request,
HS-90011,contact11@polare.com.br,polare,organic,2023-09-09,Lead,,Brasil,partner-referral,398
HS-90012,contact12@bluepath.com.br,BLUEPATH,Event,2024-12-01,Lead,OPP-2024874,Brasil,organic,585
HS-90013,contact13@skyops.com.br,Sky Ops,Partner,2024-09-21,MQL,,BR,cold-outbound,5612
HS-90014,contact14@corelogic.com.br,CoreLogic,Event,,Lead,,BRASIL,webinar-nov24,221
HS-90015,contact15@betasolutions.com.br,beta solutions,Email Marketing,,SQL,OPP-2024076,BR,event-saas-summit,191
HS-90016,contact16@dataprime.com.br,DataPrime,Referral,2024-12-23,Subscriber,OPP-2024933,Brasil,linkedin-ads-q3,526
HS-90017,contact17@gridsoft.com.br,GRIDSOFT,email,2024-12-27,SQL,,Brasil,event-saas-summit,
HS-90018,contact18@gridsoft.com.br,Grid Soft,Event,2024-10-22,MQL,,Brasil,cold-outbound,3727
HS-90019,contact19@acmecorp.com.br,Acme,email,,Customer,,Brasil,cold-outbound,
HS-90020,contact20@orbitdigital.com.br,ORBIT DIGITAL,Referral,2024-07-24,MQL,,Brasil,linkedin-ads-q3,
HS-90021,contact21@innova.com.br,INNOVA,partner referral,2023-12-26,SQL,OPP-2025088,Brazil,cold-outbound,188
HS-90022,contact22@verticetech.com.br,Vertice,Webinar,2023-10-21,MQL,,brasil,event-saas-summit,746
HS-90023,contact23@gruponexus.com.br,Nexus Group,google ads,2024-12-13,SQL,OPP-2024937,Brasil,linkedin-ads-q3,1595
HS-90024,contact24@ampliasolucoes.com.br,Amplia,Organic Search,2024-11-17,MQL,,Brazil,demo-request,
HS-90025,contact25@orbitdigital.com.br,orbit digital,Email Marketing,2023-12-16,Customer,,Brasil,organic,607
HS-90026,contact26@skyops.com.br,skyops,Partner,,Customer,,Brasil,ebook-revops,57
HS-90027,contact27@acmecorp.com.br,Acme Corp.,Event,2023-11-27,SQL,,Brasil,webinar-nov24,498
HS-90028,contact28@dataprime.com.br,dataprime,Event,2024-11-18,Subscriber,,Brazil,cold-outbound,199
HS-90029,contact29@polaris.com.br,POLARIS,Paid Search,2023-12-21,Customer,,Brasil,demo-request,6775
HS-90030,contact30@rushflow.com.br,rushflow,Paid Search,2024-07-12,Lead,OPP-2024114,Brasil,webinar-nov24,11
HS-90031,contact31@rushflow.com.br,RushFlow,Content Download,2025-01-16,Customer,,Brasil,ebook-revops,160
HS-90032,contact32@zentra.com.br,Zentra,Content Download,2023-10-07,MQL,OPP-2025170,BRASIL,cold-outbound,
HS-90033,contact33@innova.com.br,Innova,Organic Search,,Customer,,BRA,ebook-revops,108
HS-90034,contact34@connectwave.com.br,ConnectWave,Social Media,2024-07-31,Lead,,Brasil,cold-outbound,114
HS-90035,contact35@polare.com.br,polare,Email Marketing,2024-05-17,MQL,,brasil,event-saas-summit,150
HS-90036,contact36@corelogic.com.br,corelogic,google ads,2024-04-22,SQL,OPP-2025120,Brasil,event-saas-summit,8113
HS-90037,contact37@orbitdigital.com.br,ORBIT DIGITAL,Event,,Subscriber,,Brasil,event-saas-summit,774
HS-90038,contact38@gridsoft.com.br,Grid Soft,Webinar,2023-10-03,SQL,OPP-2024653,Brasil,webinar-nov24,162
HS-90039,contact39@acmecorp.com.br,Acme Corp.,Referral,2024-03-19,Customer,,Brasil,ebook-revops,522
HS-90040,contact40@bluepath.com.br,Blue Path,Referral,,MQL,,Brasil,cold-outbound,892
HS-90041,contact41@dataprime.com.br,Data Prime,paid,,Lead,OPP-2024285,Brasil,linkedin-ads-q3,968
HS-90042,contact42@betasolutions.com.br,beta solutions,social,,MQL,,Brasil,partner-referral,8112
HS-90043,contact43@ampliasolucoes.com.br,Amplia,Organic Search,,MQL,OPP-2025134,Brasil,partner-referral,282
HS-90044,contact44@zentra.com.br,zentra,Organic,2023-11-20,SQL,OPP-2024704,Brasil,linkedin-ads-q3,1512
HS-90045,contact45@rushflow.com.br,RUSHFLOW,Partner,2024-05-11,Customer,OPP-2024195,BR,cold-outbound,583
HS-90046,contact46@tapflow.com.br,Tap Flow,email,2023-09-30,Subscriber,,Brasil,organic,363
HS-90047,contact47@orbitdigital.com.br,orbit digital,paid,2024-08-10,Customer,OPP-2025011,Brasil,webinar-nov24,192
HS-90048,contact48@corelogic.com.br,CORELOGIC,Organic,2024-02-25,MQL,OPP-2024574,Brasil,webinar-nov24,
HS-90049,contact49@verticetech.com.br,Vertice,Email Marketing,2024-05-06,SQL,OPP-2024094,Brazil,linkedin-ads-q3,37
HS-90050,contact50@connectwave.com.br,Connect Wave,Webinar,2023-12-22,SQL,OPP-2024049,Brasil,linkedin-ads-q3,
HS-90051,contact51@connectwave.com.br,Connect Wave,Organic Search,2024-02-08,Subscriber,,Brasil,demo-request,92
HS-90052,contact52@polaris.com.br,Polaris,Direct,2024-08-13,Customer,OPP-2024437,Brasil,event-saas-summit,901
HS-90053,contact53@innova.com.br,INNOVA,paid,2024-10-11,Lead,,Brasil,event-saas-summit,133
HS-90054,contact54@polare.com.br,polare,Social Media,2023-11-22,MQL,,Brasil,webinar-nov24,206
HS-90055,contact55@orbitdigital.com.br,ORBIT DIGITAL,Content Download,2024-04-06,SQL,OPP-2024709,BRA,event-saas-summit,125
HS-90056,contact0@verticetech.com.br,VERTICE TECH,Social Media,2024-12-14,SQL,,Brasil,linkedin-ads-q3,
HS-90057,contact57@rushflow.com.br,rushflow,organic,,MQL,,BRA,ebook-revops,48
HS-90058,contact58@tapflow.com.br,TapFlow,Organic Search,2024-03-20,Lead,,Brasil,event-saas-summit,66
HS-90059,contact59@betasolutions.com.br,beta solutions,Referral,2023-09-13,Subscriber,,Brasil,ebook-revops,
HS-90060,contact60@betasolutions.com.br,BETA SOLUTIONS,Event,,MQL,,Brasil,webinar-nov24,
